iter	Passed	Remaining
0	55	55548
1	55	27846
2	56	18622
3	56	13985
4	56	11249
5	56	9376
6	56	8049
7	56	7054
8	57	6282
9	57	5668
10	57	5164
11	57	4735
12	57	4376
13	57	4069
14	57	3806
15	58	3575
16	58	3375
17	58	3201
18	58	3038
19	59	2895
20	59	2765
21	59	2645
22	59	2535
23	59	2435
24	59	2337
25	60	2252
26	60	2174
27	60	2099
28	60	2029
29	60	1964
30	60	1903
31	60	1845
32	61	1792
33	61	1742
34	61	1694
35	61	1650
36	61	1608
37	62	1569
38	62	1530
39	62	1494
40	62	1459
41	62	1426
42	62	1395
43	62	1365
44	63	1337
45	63	1310
46	63	1284
47	63	1258
48	63	1234
49	63	1211
50	63	1189
51	64	1169
52	64	1146
53	64	1127
54	64	1109
55	64	1090
56	64	1071
57	64	1055
58	65	1039
59	65	1022
60	65	1007
61	65	991
62	65	978
63	65	965
64	66	952
65	66	940
66	66	929
67	66	917
68	67	905
69	67	893
70	67	883
71	67	871
72	67	860
73	67	850
74	68	839
75	68	829
76	68	818
77	68	809
78	68	800
79	68	790
80	68	781
81	68	772
82	69	763
83	69	754
84	69	745
85	69	737
86	69	728
87	69	720
88	69	713
89	69	706
90	69	698
91	70	691
92	70	685
93	70	679
94	70	673
95	70	665
96	70	659
97	71	654
98	71	648
99	71	642
100	71	636
101	71	631
102	71	625
103	71	619
104	72	614
105	72	608
106	72	604
107	72	600
108	72	596
109	73	591
110	73	586
111	73	582
112	73	577
113	73	574
114	74	570
115	74	566
116	74	563
117	74	559
118	75	555
119	75	552
120	75	548
121	75	545
122	75	541
123	76	538
124	76	534
125	76	530
126	76	526
127	76	522
128	76	519
129	77	515
130	77	512
131	77	508
132	77	505
133	77	501
134	77	498
135	77	494
136	77	491
137	78	488
138	78	485
139	78	482
140	78	478
141	78	476
142	79	473
143	79	471
144	79	468
145	79	465
146	79	462
147	79	459
148	80	457
149	80	454
150	80	451
151	80	449
152	80	446
153	80	444
154	81	441
155	81	439
156	81	436
157	81	434
158	81	432
159	81	429
160	81	427
161	82	424
162	82	422
163	82	419
164	82	417
165	82	415
166	82	412
167	82	410
168	83	408
169	83	405
170	83	403
171	83	401
172	83	399
173	83	396
174	83	394
175	83	392
176	83	390
177	84	388
178	84	386
179	84	384
180	84	382
181	84	380
182	84	378
183	84	376
184	85	374
185	85	373
186	85	371
187	85	369
188	85	367
189	85	365
190	86	364
191	86	363
192	86	361
193	86	359
194	86	358
195	86	356
196	87	354
197	87	353
198	87	351
199	87	349
200	87	348
201	87	346
202	87	344
203	88	343
204	88	341
205	88	340
206	88	339
207	88	338
208	88	336
209	89	335
210	89	333
211	89	332
212	89	330
213	89	329
214	89	327
215	89	326
216	89	324
217	90	323
218	90	322
219	90	320
220	90	319
221	90	317
222	90	316
223	90	314
224	91	313
225	91	312
226	91	311
227	91	309
228	91	308
229	91	307
230	91	306
231	92	304
232	92	303
233	92	302
234	92	301
235	92	300
236	93	299
237	93	298
238	93	297
239	93	296
240	93	295
241	93	293
242	94	292
243	94	291
244	94	290
245	94	289
246	94	288
247	94	287
248	94	286
249	95	285
250	95	284
251	95	283
252	95	282
253	95	281
254	96	280
255	96	280
256	96	279
257	96	278
258	96	277
259	97	276
260	97	275
261	97	274
262	97	273
263	97	272
264	97	271
265	98	270
266	98	269
267	98	268
268	98	267
269	98	266
270	98	266
271	99	265
272	99	264
273	99	263
274	99	262
275	99	262
276	100	261
277	100	260
278	100	259
279	100	258
280	100	257
281	100	256
282	101	255
283	101	255
284	101	254
285	101	253
286	101	253
287	101	252
288	102	251
289	102	250
290	102	249
291	102	248
292	102	247
293	102	247
294	103	246
295	103	245
296	103	244
297	103	244
298	103	243
299	103	242
300	104	241
301	104	241
302	104	240
303	104	239
304	104	238
305	105	238
306	105	237
307	105	236
308	105	235
309	105	235
310	105	234
311	105	233
312	106	233
313	106	232
314	106	231
315	106	230
316	106	230
317	107	229
318	107	228
319	107	228
320	107	227
321	108	227
322	108	226
323	108	226
324	108	225
325	108	224
326	108	224
327	109	223
328	109	222
329	109	222
330	109	221
331	109	220
332	109	220
333	110	219
334	110	218
335	110	218
336	110	217
337	110	217
338	110	216
339	111	215
340	111	214
341	111	214
342	111	213
343	111	212
344	111	212
345	112	212
346	112	211
347	112	210
348	112	210
349	112	209
350	113	209
351	113	208
352	113	208
353	113	207
354	113	207
355	114	206
356	114	205
357	114	205
358	114	204
359	114	204
360	115	203
361	115	203
362	115	202
363	115	201
364	115	201
365	115	200
366	116	200
367	116	199
368	116	199
369	116	198
370	116	197
371	116	197
372	117	196
373	117	196
374	117	195
375	117	195
376	117	194
377	117	194
378	118	193
379	118	192
380	118	192
381	118	191
382	118	191
383	118	190
384	118	189
385	119	189
386	119	188
387	119	188
388	119	187
389	119	187
390	120	186
391	120	186
392	120	185
393	120	185
394	120	184
395	121	184
396	121	184
397	121	183
398	121	182
399	121	182
400	121	181
401	121	181
402	122	180
403	122	180
404	122	179
405	122	179
406	122	178
407	122	178
408	123	177
409	123	177
410	123	176
411	123	176
412	123	175
413	123	175
414	124	174
415	124	174
416	124	173
417	124	173
418	124	172
419	124	172
420	124	171
421	125	171
422	125	170
423	125	170
424	125	169
425	125	169
426	125	168
427	125	168
428	126	167
429	126	167
430	126	166
431	126	166
432	126	166
433	127	165
434	127	165
435	127	164
436	127	164
437	127	163
438	127	163
439	127	162
440	128	162
441	128	161
442	128	161
443	128	161
444	128	160
445	129	160
446	129	159
447	129	159
448	129	158
449	129	158
450	129	158
451	130	157
452	130	157
453	130	156
454	130	156
455	130	155
456	130	155
457	131	155
458	131	154
459	131	154
460	131	154
461	131	153
462	132	153
463	132	152
464	132	152
465	132	151
466	132	151
467	132	151
468	133	150
469	133	150
470	133	149
471	133	149
472	133	149
473	134	148
474	134	148
475	134	147
476	134	147
477	134	147
478	135	146
479	135	146
480	135	146
481	135	145
482	135	145
483	135	144
484	135	144
485	136	143
486	136	143
487	136	143
488	136	142
489	136	142
490	137	142
491	137	141
492	137	141
493	137	140
494	137	140
495	137	140
496	138	139
497	138	139
498	138	139
499	138	138
500	138	138
501	139	138
502	139	137
503	139	137
504	139	136
505	139	136
506	140	136
507	140	135
508	140	135
509	140	135
510	140	134
511	140	134
512	141	133
513	141	133
514	141	133
515	141	132
516	141	132
517	142	132
518	142	131
519	142	131
520	142	131
521	142	130
522	142	130
523	143	129
524	143	129
525	143	129
526	143	129
527	143	128
528	144	128
529	144	128
530	144	127
531	144	127
532	144	126
533	145	126
534	145	126
535	145	125
536	145	125
537	145	125
538	145	124
539	146	124
540	146	124
541	146	123
542	146	123
543	146	123
544	147	122
545	147	122
546	147	122
547	147	121
548	147	121
549	148	121
550	148	120
551	148	120
552	148	120
553	148	119
554	149	119
555	149	119
556	149	118
557	149	118
558	149	118
559	150	117
560	150	117
561	150	117
562	150	116
563	150	116
564	151	116
565	151	115
566	151	115
567	151	115
568	151	114
569	151	114
570	152	114
571	152	114
572	152	113
573	152	113
574	152	113
575	153	112
576	153	112
577	153	112
578	153	111
579	153	111
580	154	111
581	154	110
582	154	110
583	154	110
584	154	109
585	155	109
586	155	109
587	155	108
588	155	108
589	155	108
590	155	107
591	156	107
592	156	107
593	156	106
594	156	106
595	156	106
596	156	105
597	157	105
598	157	105
599	157	105
600	157	104
601	157	104
602	157	104
603	158	103
604	158	103
605	158	103
606	158	102
607	158	102
608	158	102
609	159	101
610	159	101
611	159	101
612	159	100
613	159	100
614	159	100
615	160	99
616	160	99
617	160	99
618	160	98
619	160	98
620	161	98
621	161	97
622	161	97
623	161	97
624	161	97
625	161	96
626	162	96
627	162	96
628	162	95
629	162	95
630	163	95
631	163	95
632	163	94
633	163	94
634	163	94
635	163	93
636	163	93
637	164	93
638	164	92
639	164	92
640	164	92
641	164	91
642	165	91
643	165	91
644	165	91
645	165	90
646	165	90
647	165	90
648	166	89
649	166	89
650	166	89
651	166	89
652	166	88
653	167	88
654	167	88
655	167	87
656	167	87
657	167	87
658	167	86
659	168	86
660	168	86
661	168	86
662	168	85
663	169	85
664	169	85
665	169	85
666	169	84
667	169	84
668	170	84
669	170	83
670	170	83
671	170	83
672	170	83
673	171	82
674	171	82
675	171	82
676	171	81
677	171	81
678	171	81
679	172	80
680	172	80
681	172	80
682	172	80
683	172	79
684	172	79
685	173	79
686	173	78
687	173	78
688	173	78
689	173	78
690	174	77
691	174	77
692	174	77
693	174	77
694	174	76
695	175	76
696	175	76
697	175	75
698	175	75
699	175	75
700	175	75
701	176	74
702	176	74
703	176	74
704	176	73
705	176	73
706	176	73
707	177	73
708	177	72
709	177	72
710	177	72
711	177	71
712	177	71
713	178	71
714	178	71
715	178	70
716	178	70
717	178	70
718	179	70
719	179	69
720	179	69
721	179	69
722	179	68
723	180	68
724	180	68
725	180	68
726	180	67
727	180	67
728	180	67
729	181	66
730	181	66
731	181	66
732	181	66
733	181	65
734	181	65
735	182	65
736	182	65
737	182	64
738	182	64
739	182	64
740	183	63
741	183	63
742	183	63
743	183	63
744	183	62
745	183	62
746	184	62
747	184	62
748	184	61
749	184	61
750	185	61
751	185	61
752	185	60
753	185	60
754	186	60
755	186	60
756	186	59
757	186	59
758	186	59
759	187	59
760	187	58
761	187	58
762	187	58
763	188	58
764	188	57
765	188	57
766	188	57
767	188	57
768	189	56
769	189	56
770	189	56
771	189	56
772	190	55
773	190	55
774	190	55
775	191	55
776	191	54
777	191	54
778	192	54
779	192	54
780	192	53
781	192	53
782	192	53
783	193	53
784	193	52
785	193	52
786	193	52
787	193	52
788	194	51
789	194	51
790	194	51
791	194	51
792	195	50
793	195	50
794	195	50
795	195	50
796	195	49
797	196	49
798	196	49
799	196	49
800	196	48
801	196	48
802	196	48
803	196	48
804	197	47
805	197	47
806	197	47
807	197	46
