iter	RMSE
0	38.58927507
1	38.0958217
2	37.86358681
3	37.59039353
4	37.3341905
5	37.10676656
6	36.87823992
7	36.66088089
8	36.44716264
9	36.23472441
10	36.02549657
11	35.81978209
12	35.58551483
13	35.38325101
14	35.14254494
15	34.858014
16	34.60579883
17	34.1618891
18	33.96961473
19	33.78152248
20	33.58374348
21	33.36208782
22	32.93832551
23	32.73000174
24	32.50375499
25	32.32107042
26	32.06128028
27	31.88755563
28	31.69484929
29	31.48951789
30	31.1383855
31	30.82238469
32	30.43771026
33	30.27545621
34	30.11042572
35	29.81682908
36	29.64496711
37	29.48329609
38	29.32507299
39	29.17415337
40	28.80395568
41	28.42295933
42	28.27556962
43	27.97427996
44	27.82989904
45	27.68579721
46	27.54514121
47	27.39130861
48	27.25423595
49	27.11896524
50	26.98399285
51	26.85188018
52	26.46088572
53	26.32927738
54	26.0222539
55	25.78020037
56	25.65445791
57	25.52798451
58	25.22557064
59	25.10374214
60	24.95328905
61	24.83271441
62	24.56867774
63	24.44724142
64	24.14504951
65	24.03109119
66	23.88454178
67	23.77346897
68	23.43728836
69	23.28682356
70	23.00868021
71	22.90146096
72	22.79569029
73	22.49277468
74	22.25886221
75	22.12240229
76	22.02027988
77	21.91959319
78	21.82052112
79	21.71758739
80	21.46215628
81	21.21558909
82	21.0870883
83	20.99174294
84	20.87092029
85	20.65387669
86	20.44986372
87	20.3486071
88	20.25706801
89	20.157721
90	20.0696252
91	19.88904948
92	19.64343865
93	19.55779825
94	19.3438636
95	19.26144769
96	19.02676051
97	18.80102553
98	18.6138329
99	18.46230166
100	18.22430292
101	18.11910486
102	17.93773724
103	17.76240322
104	17.63217965
105	17.48786422
106	17.41263778
107	17.30642359
108	17.23363871
109	17.16187913
110	17.08928073
111	16.92636105
112	16.70092403
113	16.63206859
114	16.46370028
115	16.39482676
116	16.19203335
117	16.03598083
118	15.94411124
119	15.72895238
120	15.56872956
121	15.4700565
122	15.38214279
123	15.31980056
124	15.258236
125	15.09877968
126	15.0385375
127	14.97763395
128	14.90474024
129	14.8454695
130	14.78818254
131	14.72572395
132	14.67039786
133	14.61380967
134	14.56017689
135	14.5057755
136	14.45369148
137	14.39545822
138	14.21946187
139	14.15882049
140	14.10118947
141	14.03514302
142	13.98653638
143	13.93900698
144	13.81829539
145	13.77180123
146	13.71051369
147	13.66385839
148	13.60701447
149	13.56272772
150	13.51459113
151	13.30361663
152	13.26106511
153	13.20437183
154	13.16328736
155	13.07300977
156	13.03290601
157	12.89720061
158	12.84768247
159	12.6819248
160	12.64356623
161	12.45634071
162	12.4169382
163	12.37730426
164	12.34076947
165	12.3028611
166	12.26711364
167	12.23069766
168	12.07615675
169	12.04188289
170	12.00822336
171	11.97364492
172	11.80242544
173	11.7698527
174	11.73783814
175	11.55791491
176	11.50329124
177	11.47037311
178	11.43952823
179	11.40933644
180	11.37705909
181	11.34597688
182	11.31588217
183	11.28625381
184	11.25844397
185	11.22921258
186	11.18694453
187	11.15830533
188	11.13216137
189	11.10512443
190	10.95323985
191	10.92607398
192	10.89811964
193	10.87063567
194	10.83196372
195	10.80609095
196	10.77076778
197	10.74773926
198	10.72512337
199	10.7005109
200	10.53213059
201	10.50859631
202	10.48586591
203	10.46344699
204	10.33230927
205	10.17435479
206	10.03372642
207	10.01183862
208	9.988521194
209	9.967227896
210	9.935596968
211	9.903749408
212	9.883568085
213	9.85345507
214	9.833252609
215	9.660065311
216	9.506439081
217	9.487184542
218	9.468178177
219	9.44874152
220	9.430265192
221	9.412225109
222	9.368643321
223	9.203106693
224	9.184080905
225	9.156464749
226	9.016804338
227	8.9988501
228	8.982169029
229	8.792596031
230	8.774761412
231	8.74948349
232	8.72565143
233	8.71016455
234	8.566253655
235	8.419186092
236	8.395733728
237	8.372825595
238	8.350447614
239	8.309662479
240	8.295445262
241	8.27389264
242	8.148890305
243	8.133809187
244	8.120277972
245	7.979734875
246	7.848223282
247	7.83387412
248	7.814395654
249	7.795366883
250	7.776776193
251	7.758612296
252	7.630899654
253	7.507230731
254	7.381558309
255	7.367914241
256	7.351132013
257	7.230976392
258	7.218519959
259	7.106685369
260	6.972043997
261	6.865976356
262	6.743815015
263	6.623396371
264	6.508565168
265	6.413700252
