iter	Passed	Remaining
0	0	810
1	1	513
2	1	399
3	1	326
4	1	273
5	1	237
6	1	224
7	1	220
8	1	200
9	1	191
10	2	182
11	2	171
12	2	163
13	2	155
14	2	154
15	2	150
16	2	150
17	2	147
18	2	145
19	2	140
20	2	138
21	3	134
22	3	134
23	3	130
24	3	128
25	3	129
26	3	126
27	3	123
28	3	120
29	3	118
30	3	118
31	3	119
32	4	121
33	4	120
34	4	120
35	4	120
36	4	120
37	4	119
38	4	121
39	5	121
40	5	121
41	5	120
42	5	119
43	5	119
44	5	117
45	5	115
46	5	114
47	5	114
48	5	113
49	5	112
50	6	111
51	6	110
52	6	110
53	6	110
54	6	109
55	6	110
56	6	110
57	6	110
58	6	110
59	6	108
60	7	109
61	7	109
62	7	109
63	7	109
64	7	109
65	7	108
66	7	108
67	7	107
68	7	107
69	8	106
70	8	106
71	8	105
72	8	104
73	8	104
74	8	104
75	8	103
76	8	103
77	8	103
78	8	102
79	8	102
80	9	102
81	9	103
82	9	102
83	9	102
84	9	101
85	9	102
86	9	103
87	9	102
88	10	102
89	10	102
90	10	101
91	10	101
92	10	101
93	10	100
94	10	100
95	10	100
96	10	100
97	10	99
98	10	99
99	11	99
100	11	99
101	11	99
102	11	99
103	11	98
104	11	98
105	11	98
106	11	98
107	11	98
108	11	97
109	11	97
110	12	96
111	12	96
112	12	96
113	12	96
114	12	96
115	12	96
116	12	96
117	12	95
118	12	95
119	13	95
120	13	95
121	13	95
122	13	96
123	13	96
124	13	96
125	13	96
126	14	96
127	14	96
128	14	96
129	14	96
130	14	96
131	14	95
132	14	95
133	14	95
134	14	95
135	15	95
136	15	95
137	15	95
138	15	95
139	15	95
140	15	95
141	15	94
142	15	94
143	15	93
144	15	93
145	15	93
146	16	93
147	16	93
148	16	93
149	16	93
150	16	93
151	16	94
152	16	93
153	17	93
154	17	93
155	17	93
156	17	93
157	17	92
158	17	92
159	17	92
160	17	91
161	17	91
162	17	91
163	18	92
164	18	91
165	18	91
166	18	91
167	18	91
168	18	91
169	18	91
170	18	90
171	18	90
172	18	90
173	18	89
174	18	89
175	19	89
176	19	89
177	19	89
178	19	89
179	19	88
180	19	89
181	19	89
182	19	88
183	19	88
184	20	88
185	20	88
186	20	88
187	20	88
188	20	88
189	20	88
190	20	88
191	21	88
192	21	88
193	21	88
194	21	88
195	21	88
196	21	88
197	21	87
198	21	87
199	21	87
200	22	87
201	22	87
202	22	87
203	22	87
204	22	87
205	22	86
206	22	86
207	22	86
208	22	86
209	23	86
210	23	86
211	23	86
212	23	86
213	23	86
214	23	86
215	23	86
216	24	86
217	24	86
218	24	86
219	24	85
220	24	85
221	24	85
222	24	85
223	24	85
224	24	85
225	24	85
226	24	84
227	25	84
228	25	84
229	25	84
230	25	84
231	25	84
232	25	84
233	25	83
234	25	83
235	25	83
236	25	83
237	26	83
238	26	83
239	26	83
240	26	82
241	26	82
242	26	82
243	26	82
244	26	82
245	26	82
246	26	82
247	27	82
248	27	81
249	27	81
250	27	81
251	27	81
252	27	81
253	27	81
254	27	81
255	28	81
256	28	81
257	28	81
258	28	81
259	28	81
260	28	81
261	28	81
262	28	81
263	29	81
264	29	81
265	29	80
266	29	80
267	29	80
268	29	80
269	29	80
270	29	80
271	30	80
272	30	80
273	30	79
274	30	79
275	30	79
276	30	79
277	30	79
278	30	79
279	30	79
280	31	79
281	31	79
282	31	79
283	31	79
284	31	79
285	31	78
286	31	78
287	31	79
288	32	78
289	32	78
290	32	78
291	32	78
292	32	78
293	32	78
294	32	78
295	32	78
296	33	78
297	33	78
298	33	78
299	33	77
300	33	77
301	33	77
302	33	77
303	33	77
304	34	77
305	34	77
306	34	77
307	34	77
308	34	77
309	34	77
310	34	77
311	35	77
312	35	77
313	35	77
314	35	77
315	35	77
316	35	77
317	35	76
318	35	76
319	36	76
320	36	76
321	36	76
322	36	77
323	36	77
324	37	77
325	37	76
326	37	76
327	37	76
328	37	76
329	37	76
330	37	76
331	38	76
332	38	76
333	38	76
334	38	76
335	38	76
336	38	76
337	38	76
338	38	75
339	39	75
340	39	75
341	39	75
342	39	75
343	39	75
344	39	75
345	39	74
346	39	74
347	39	74
348	40	74
349	40	74
350	40	74
351	40	74
352	40	74
353	40	74
354	40	74
355	40	73
356	41	73
357	41	73
358	41	73
359	41	73
360	41	73
361	41	73
362	41	73
363	41	73
364	42	73
365	42	73
366	42	72
367	42	72
368	42	72
369	42	72
370	42	72
371	42	72
372	43	72
373	43	72
374	43	72
375	43	71
376	43	71
377	43	71
378	43	71
379	43	71
380	43	71
381	44	71
382	44	71
383	44	71
384	44	70
385	44	70
386	44	70
387	44	70
388	44	70
389	44	70
390	45	70
391	45	70
392	45	70
393	45	69
394	45	69
395	45	69
396	45	69
397	45	69
398	46	69
399	46	69
400	46	69
401	46	68
402	46	68
403	46	68
404	46	68
405	46	68
406	46	68
407	47	68
408	47	68
409	47	67
410	47	68
411	47	68
412	47	67
413	47	67
414	48	67
415	48	67
416	48	67
417	48	67
418	48	67
419	48	67
420	48	67
421	49	67
422	49	67
423	49	66
424	49	66
425	49	66
426	49	66
427	49	66
428	49	66
429	50	66
430	50	66
431	50	66
432	50	65
433	50	65
434	50	65
435	50	65
436	50	65
437	50	65
438	51	65
439	51	65
440	51	65
441	51	65
442	51	64
443	51	64
444	51	64
445	51	64
446	52	64
447	52	64
448	52	64
449	52	64
450	52	64
451	52	64
452	52	63
453	53	63
454	53	63
455	53	63
456	53	63
457	53	63
458	53	63
459	53	63
460	53	63
461	54	62
462	54	62
463	54	62
464	54	62
465	54	62
466	54	62
467	54	62
468	54	62
469	54	61
470	55	61
471	55	61
472	55	61
473	55	61
474	55	61
475	55	61
476	55	61
477	56	61
478	56	61
479	56	61
480	56	60
481	56	60
482	56	60
483	56	60
484	56	60
485	57	60
486	57	60
487	57	60
488	57	60
489	57	60
490	57	60
491	58	59
492	58	59
493	58	59
494	58	59
495	58	59
496	58	59
497	58	59
498	58	59
499	59	59
500	59	58
501	59	58
502	59	58
503	59	58
504	59	58
505	59	58
506	59	58
507	60	58
508	60	58
509	60	57
510	60	57
511	60	57
512	60	57
513	60	57
514	61	57
515	61	57
516	61	57
517	61	57
518	61	56
519	61	56
520	61	56
521	61	56
522	61	56
523	62	56
524	62	56
525	62	56
526	62	55
527	62	55
528	62	55
529	62	55
530	62	55
531	62	55
532	63	55
533	63	55
534	63	55
535	63	54
536	63	54
537	63	54
538	63	54
539	64	54
540	64	54
541	64	54
542	64	54
543	64	54
544	64	54
545	64	53
546	65	53
547	65	53
548	65	53
549	65	53
550	65	53
551	65	53
552	65	53
553	65	53
554	66	53
555	66	52
556	66	52
557	66	52
558	66	52
559	66	52
560	67	52
561	67	52
562	67	52
563	67	52
564	67	52
565	67	51
566	67	51
567	68	51
568	68	51
569	68	51
570	68	51
571	68	51
572	68	51
573	68	51
574	69	51
575	69	50
576	69	50
577	69	50
578	69	50
579	69	50
580	69	50
581	69	50
582	69	50
583	70	50
584	70	49
585	70	49
586	70	49
587	70	49
588	70	49
589	71	49
590	71	49
591	71	49
592	71	48
593	71	48
594	71	48
595	71	48
596	72	48
597	72	48
598	72	48
599	72	48
600	72	48
601	72	48
602	73	48
603	73	47
604	73	47
605	73	47
606	73	47
607	73	47
608	73	47
609	73	47
610	74	47
611	74	46
612	74	46
613	74	46
614	74	46
615	74	46
616	74	46
617	74	46
618	75	46
619	75	46
620	75	45
621	75	45
622	75	45
623	75	45
624	75	45
625	76	45
626	76	45
627	76	45
628	76	45
629	76	45
630	76	44
631	76	44
632	77	44
633	77	44
634	77	44
635	77	44
636	77	44
637	77	44
638	77	44
639	78	43
640	78	43
641	78	43
642	78	43
643	78	43
644	78	43
645	78	43
646	78	43
647	79	42
648	79	42
649	79	42
650	79	42
651	79	42
652	79	42
653	79	42
654	80	42
655	80	42
656	80	41
657	80	41
658	80	41
659	80	41
660	80	41
661	81	41
662	81	41
663	81	41
664	81	41
665	81	40
666	81	40
667	81	40
668	82	40
669	82	40
670	82	40
671	82	40
672	82	40
673	82	40
674	82	39
675	83	39
676	83	39
677	83	39
678	83	39
679	83	39
680	83	39
681	83	39
682	83	38
683	83	38
684	84	38
685	84	38
686	84	38
687	84	38
688	84	38
689	84	38
690	84	37
691	84	37
692	85	37
693	85	37
694	85	37
695	85	37
696	85	37
697	85	37
698	85	36
699	86	36
700	86	36
701	86	36
702	86	36
703	86	36
704	86	36
705	87	36
706	87	36
707	87	36
708	87	35
709	87	35
710	87	35
711	87	35
712	87	35
713	88	35
714	88	35
715	88	35
716	88	34
717	88	34
718	88	34
719	89	34
720	89	34
721	89	34
722	89	34
723	89	34
724	89	34
725	90	33
726	90	33
727	90	33
728	90	33
729	90	33
730	91	33
731	91	33
732	91	33
733	91	33
734	91	33
735	91	32
736	91	32
737	91	32
738	92	32
739	92	32
740	92	32
741	92	32
742	92	32
743	92	31
744	92	31
745	93	31
746	93	31
747	93	31
748	93	31
749	93	31
750	93	31
751	93	30
752	94	30
753	94	30
754	94	30
755	94	30
756	94	30
757	94	30
758	94	30
759	94	29
760	94	29
761	95	29
762	95	29
763	95	29
764	95	29
765	95	29
766	95	29
767	96	29
768	96	28
769	96	28
770	96	28
771	96	28
772	96	28
773	96	28
774	97	28
775	97	28
776	97	27
777	97	27
778	97	27
779	97	27
780	98	27
781	98	27
782	98	27
783	98	27
784	98	27
